station_id,n_per_id,station_name,station_latitude,station_longitude,city,departure_count,arrival_count,net_change,prop_inflow,is_transit,elevation,elev_units,station_longitude.1,station_latitude.1
107,1,17th St at Dolores St,37.7630152,-122.4264968,SanFrancisco,5882,5225,-657,-0.11169670180210813,FALSE,22.72,meters,-122.42649679999998,37.7630152
108,1,16th St Mission BART,37.76471008581914,-122.41995692253113,SanFrancisco,5171,5374,203,0.03925739702185264,TRUE,10.56,meters,-122.41995692253113,37.76471008581914
109,1,17th St at Valencia St,37.7633158,-122.4219039,SanFrancisco,11087,11723,636,0.05736448092360422,FALSE,14.67,meters,-122.42190390000002,37.7633158
110,1,17th & Folsom Street Park (17th St at Folsom St),37.7637085,-122.4152042,SanFrancisco,5090,5574,484,0.09508840864440078,FALSE,6.33,meters,-122.4152042,37.7637085
112,1,Harrison St at 17th St,37.7638471,-122.4130036,SanFrancisco,8550,10079,1529,0.17883040935672515,FALSE,6.87,meters,-122.4130036,37.7638471
113,1,Franklin Square,37.764555,-122.410345,SanFrancisco,4289,3430,-859,-0.20027978549778502,FALSE,18.73,meters,-122.410345,37.764555
114,1,Rhode Island St at 17th St,37.7644783,-122.4025701,SanFrancisco,12203,12624,421,0.034499713185282305,FALSE,9.69,meters,-122.4025701,37.7644783
115,1,Jackson Playground,37.7650259,-122.3987734,SanFrancisco,7063,7290,227,0.03213931757043749,FALSE,7.19,meters,-122.3987734,37.765025900000005
116,1,Mississippi St at 17th St,37.7648022,-122.3947713,SanFrancisco,7625,7281,-344,-0.04511475409836065,FALSE,9,meters,-122.3947713,37.7648022
118,1,Eureka Valley Recreation Center,37.7591769,-122.4369431,SanFrancisco,3576,2532,-1044,-0.29194630872483224,FALSE,50.37,meters,-122.4369431,37.7591769
119,1,18th St at Noe St,37.7610471,-122.4326417,SanFrancisco,7499,7353,-146,-0.019469262568342447,FALSE,28.79,meters,-122.43264170000002,37.7610471
120,1,Mission Dolores Park,37.7614205,-122.4264353,SanFrancisco,9383,9590,207,0.022061174464456997,FALSE,15.77,meters,-122.42643529999998,37.7614205
121,1,Mission Playground,37.7592103,-122.4213392,SanFrancisco,10770,11499,729,0.06768802228412256,FALSE,17.63,meters,-122.42133920000002,37.7592103
122,1,19th St at Mission St,37.760299,-122.418892,SanFrancisco,6659,6917,258,0.038744556239675626,FALSE,12.97,meters,-122.41889200000001,37.760299
123,1,Folsom St at 19th St,37.7605936,-122.4148171,SanFrancisco,7281,7190,-91,-0.012498283202856751,FALSE,8.33,meters,-122.41481710000001,37.7605936
124,1,19th St at Florida St,37.7604469,-122.410807,SanFrancisco,6201,6345,144,0.023222060957910014,FALSE,9.06,meters,-122.410807,37.7604469
125,1,20th St at Bryant St,37.7592005,-122.409851,SanFrancisco,6721,6653,-68,-0.01011754203243565,FALSE,10.25,meters,-122.40985100000002,37.7592005
126,1,Esprit Park,37.7616343,-122.3906477,SanFrancisco,13112,12939,-173,-0.013194020744356315,FALSE,13.56,meters,-122.39064769999999,37.7616343
127,1,Valencia St at 21st St,37.7567083,-122.421025,SanFrancisco,8745,8453,-292,-0.03339050886220698,FALSE,22.15,meters,-122.421025,37.7567083
129,1,Harrison St at 20th St,37.758862,-122.412544,SanFrancisco,8375,8493,118,0.01408955223880597,FALSE,9.44,meters,-122.412544,37.758862
130,1,22nd St Caltrain Station,37.75736899005735,-122.3920565843582,SanFrancisco,7850,7744,-106,-0.013503184713375796,TRUE,12.84,meters,-122.3920565843582,37.75736899005735
131,1,Dolores St at 22nd St,37.754795,-122.425649,SanFrancisco,47,63,16,0.3404255319148936,FALSE,39.31,meters,-122.42564900000002,37.754795
132,1,24th St at Chattanooga St,37.7518194,-122.4266139,SanFrancisco,5384,2668,-2716,-0.5044576523031203,FALSE,54.28,meters,-122.42661390000002,37.7518194
133,1,Valencia St at 22nd St,37.7552126,-122.4209752,SanFrancisco,8448,8327,-121,-0.014322916666666666,FALSE,25.01,meters,-122.4209752,37.7552126
134,1,Valencia St at 24th St,37.7524278,-122.4206278,SanFrancisco,15597,15938,341,0.02186317881643906,FALSE,26.77,meters,-122.4206278,37.7524278
136,1,23rd St at San Bruno Ave,37.7544356,-122.4043639,SanFrancisco,744,733,-11,-0.01478494623655914,FALSE,23.1,meters,-122.4043639,37.7544356
137,1,Jersey St at Castro St,37.750506,-122.4339496,SanFrancisco,5271,2913,-2358,-0.4473534433693796,FALSE,63.01,meters,-122.43394959999999,37.750506
138,1,Jersey St at Church St,37.7509004,-122.4274114,SanFrancisco,3527,1964,-1563,-0.4431528210944145,FALSE,49.29,meters,-122.4274114,37.7509004
139,1,Garfield Square (25th St at Harrison St),37.7510171,-122.4119009,SanFrancisco,6741,6923,182,0.02699896157840083,FALSE,16.85,meters,-122.4119009,37.7510171
140,1,Cesar Chavez St at Dolores St,37.7478584,-122.4249863,SanFrancisco,2086,1273,-813,-0.3897411313518696,FALSE,39.14,meters,-122.4249863,37.7478584
141,1,Valencia St at Cesar Chavez St,37.7479981,-122.4202187,SanFrancisco,7649,6989,-660,-0.0862857889920251,FALSE,23.11,meters,-122.4202187,37.7479981
144,1,Precita Park,37.7472996,-122.4114029,SanFrancisco,5648,5493,-155,-0.027443342776203965,FALSE,15.54,meters,-122.4114029,37.7472996
145,1,29th St at Church St,37.7436839,-122.4268059,SanFrancisco,5363,4572,-791,-0.14749207533097147,FALSE,39.28,meters,-122.4268059,37.7436839
146,1,30th St at San Jose Ave,37.7423139,-122.4231805,SanFrancisco,3059,2108,-951,-0.31088591042824454,FALSE,34.68,meters,-122.42318050000002,37.7423139
147,1,29th St at Tiffany Ave,37.7440667,-122.4214722,SanFrancisco,6033,5573,-460,-0.07624730648102106,FALSE,30.36,meters,-122.42147220000001,37.7440667
148,1,Horton St at 40th St,37.8297046,-122.2876102,EastBay,2487,2774,287,0.11540008041817451,FALSE,4.84,meters,-122.28761020000002,37.8297046
149,1,Emeryville Town Hall,37.8312752,-122.2856333,EastBay,1737,1720,-17,-0.00978698906160046,FALSE,6.84,meters,-122.2856333,37.8312752
150,1,Adeline St at 40th St,37.8312769,-122.2782669,EastBay,2287,2436,149,0.06515085264538698,FALSE,14.56,meters,-122.27826689999999,37.8312769
151,1,53rd St at Hollis St,37.8361823,-122.2871801,EastBay,574,933,359,0.6254355400696864,FALSE,5.75,meters,-122.2871801,37.8361823
152,1,47th St at San Pablo Ave,37.83563220458518,-122.28105068206787,EastBay,1308,1522,214,0.1636085626911315,FALSE,13.23,meters,-122.28105068206787,37.83563220458518
153,1,59th St at Horton St,37.8409452,-122.2913604,EastBay,1670,2064,394,0.23592814371257484,FALSE,5.4,meters,-122.2913604,37.8409452
154,1,Doyle St at 59th St,37.841923799999996,-122.2880451,EastBay,1388,1525,137,0.09870317002881844,FALSE,7.9,meters,-122.2880451,37.841923799999996
155,1,Emeryville Public Market,37.84052116694969,-122.29352831840515,EastBay,1428,1778,350,0.24509803921568626,FALSE,3.55,meters,-122.29352831840515,37.84052116694969
156,1,Stanford Ave at Hollis St,37.8384435,-122.2886647,EastBay,1342,1613,271,0.20193740685543965,FALSE,6.66,meters,-122.2886647,37.8384435
157,1,65th St at Hollis St,37.8467842,-122.2913761,EastBay,2539,3865,1326,0.5222528554549035,FALSE,7.03,meters,-122.2913761,37.8467842
158,1,Shattuck Ave at Telegraph Ave,37.8332786,-122.2634901,EastBay,3333,2862,-471,-0.1413141314131413,FALSE,31.64,meters,-122.26349010000001,37.8332786
159,1,24th St at Market St,37.8160598,-122.2782444,EastBay,1963,2047,84,0.04279164544065207,FALSE,5.76,meters,-122.27824439999999,37.8160598
160,1,West Oakland BART Station,37.8053183,-122.2948365,EastBay,9135,9209,74,0.008100711548987411,TRUE,4.63,meters,-122.2948365,37.8053183
162,1,Franklin St at 9th St,37.8005161,-122.2720799,EastBay,3909,3596,-313,-0.08007162957278076,FALSE,12.18,meters,-122.27207989999998,37.8005161
163,1,Lake Merritt BART Station,37.7973195,-122.2653199,EastBay,11913,8489,-3424,-0.2874171073617057,TRUE,9.87,meters,-122.2653199,37.7973195
164,1,Isabella St at San Pablo Ave,37.814988230424156,-122.27484405040741,EastBay,1274,1112,-162,-0.1271585557299843,FALSE,7.11,meters,-122.27484405040741,37.814988230424156
166,1,College Ave at Alcatraz Ave,37.8513755,-122.25252329999999,EastBay,3239,2927,-312,-0.09632602655140475,FALSE,64.98,meters,-122.25252329999999,37.8513755
167,1,College Ave at Harwood Ave,37.848152,-122.2521599,EastBay,2640,2406,-234,-0.08863636363636364,FALSE,60.74,meters,-122.2521599,37.848152
168,1,Alcatraz Ave at Shattuck Ave,37.849594967776646,-122.26556897163393,EastBay,1091,990,-101,-0.0925756186984418,FALSE,39.47,meters,-122.26556897163393,37.849594967776646
169,1,Bushrod Park,37.8465156,-122.2653043,EastBay,1448,1447,-1,-6.906077348066298e-4,FALSE,37.12,meters,-122.2653043,37.8465156
170,1,Telegraph Ave at 58th St,37.844492700000004,-122.261351,EastBay,1126,1185,59,0.052397868561278864,FALSE,41.88,meters,-122.261351,37.844492700000004
171,1,Rockridge BART Station,37.84427875399067,-122.251900434494,EastBay,6334,6305,-29,-0.004578465424692138,TRUE,54.17,meters,-122.251900434494,37.84427875399067
172,1,College Ave at Taft Ave,37.8417999,-122.2515349,EastBay,2242,1867,-375,-0.1672613737734166,FALSE,51.39,meters,-122.2515349,37.8417999
173,2,Shattuck Ave at 55th Ave,37.8403643,-122.2644881,EastBay,1336,1218,-118,-0.08832335329341318,FALSE,33.99,meters,-122.26448809999998,37.8403643
173,2,Shattuck Ave at 55th St,37.8403643,-122.2644881,EastBay,915,903,-12,-0.013114754098360656,FALSE,33.99,meters,-122.26448809999998,37.8403643
174,1,Shattuck Ave at 51st St,37.8368013,-122.2640037,EastBay,1266,1314,48,0.037914691943127965,FALSE,34.17,meters,-122.26400370000002,37.8368013
175,1,49th St at Telegraph Ave,37.8359455,-122.2623663,EastBay,4066,3954,-112,-0.027545499262174127,FALSE,35.24,meters,-122.26236629999998,37.83594550000001
176,1,MacArthur BART Station,37.82840997305853,-122.26631462574005,EastBay,15265,16535,1270,0.08319685555191615,TRUE,23.12,meters,-122.26631462574005,37.82840997305853
177,1,MacArthur Blvd at Telegraph Ave,37.8262863,-122.2651002,EastBay,2161,1729,-432,-0.1999074502545118,FALSE,22.06,meters,-122.2651002,37.8262863
178,1,Broadway at 30th St,37.8193814,-122.2619284,EastBay,4999,4609,-390,-0.07801560312062412,FALSE,16.99,meters,-122.26192840000002,37.8193814
179,1,Telegraph Ave at 27th St,37.816073115011406,-122.26788640022278,EastBay,5531,4616,-915,-0.16543120593021154,FALSE,10.26,meters,-122.26788640022278,37.816073115011406
180,1,Telegraph Ave at 23rd St,37.8126783,-122.2687726,EastBay,5862,5682,-180,-0.030706243602865915,FALSE,7.38,meters,-122.26877260000002,37.8126783
181,1,Grand Ave at Webster St,37.8113768,-122.2651925,EastBay,9887,9919,32,0.0032365732780418733,FALSE,8.02,meters,-122.26519249999998,37.8113768
182,1,19th Street BART Station,37.8090126,-122.2682473,EastBay,20042,21882,1840,0.09180720486977348,TRUE,6.07,meters,-122.26824730000001,37.8090126
183,1,Telegraph Ave at 19th St,37.8087021,-122.2699271,EastBay,7873,7890,17,0.002159278546932554,FALSE,7.78,meters,-122.26992710000002,37.8087021
184,1,Franklin St at 14th St,37.8037651,-122.2699884,EastBay,946,752,-194,-0.20507399577167018,FALSE,12.52,meters,-122.2699884,37.8037651
185,1,Jackson St at 14th St,37.8018575,-122.2653676,EastBay,814,744,-70,-0.085995085995086,FALSE,11.01,meters,-122.26536760000002,37.8018575
186,1,Lakeside Dr at 14th St,37.8013189,-122.2626418,EastBay,6747,7139,392,0.058099896250185266,FALSE,7.19,meters,-122.2626418,37.8013189
